,Pts,season,round,team,Form
449,31,2022,Matchweek 24,Chelsea,3
450,28,2022,Matchweek 24,Aston Villa,3
451,25,2022,Matchweek 24,Crystal Palace,2
452,24,2022,Matchweek 24,Leicester,7
453,24,2022,Matchweek 24,Nottm Forest,4
454,23,2022,Matchweek 24,Wolves,6
455,20,2022,Matchweek 24,West Ham,5
456,19,2022,Matchweek 24,Leeds,1
457,18,2022,Matchweek 24,Everton,3
458,18,2022,Matchweek 24,Bournemouth,2
459,15,2022,Matchweek 24,Southampton,0
460,57,2022,Matchweek 25,Arsenal,4
461,52,2022,Matchweek 25,Man City,4
462,49,2022,Matchweek 25,Man Utd,9
463,42,2022,Matchweek 25,Tottenham,6
464,41,2022,Matchweek 25,Newcastle,2
465,38,2022,Matchweek 25,Liverpool,6
466,38,2022,Matchweek 25,Brighton,4
467,38,2022,Matchweek 25,Brentford,5
468,38,2022,Matchweek 25,Fulham,7
469,31,2022,Matchweek 25,Chelsea,2
470,28,2022,Matchweek 25,Aston Villa,0
471,26,2022,Matchweek 25,Crystal Palace,2
472,25,2022,Matchweek 25,Nottm Forest,4
473,24,2022,Matchweek 25,Leicester,6
474,23,2022,Matchweek 25,Wolves,6
475,21,2022,Matchweek 25,Everton,6
476,21,2022,Matchweek 25,Bournemouth,4
477,20,2022,Matchweek 25,West Ham,2
478,19,2022,Matchweek 25,Leeds,0
479,18,2022,Matchweek 25,Southampton,3
480,60,2022,Matchweek 26,Arsenal,7
481,55,2022,Matchweek 26,Man City,7
482,49,2022,Matchweek 26,Man Utd,9
483,45,2022,Matchweek 26,Tottenham,6
484,41,2022,Matchweek 26,Newcastle,2
485,39,2022,Matchweek 26,Liverpool,7
486,39,2022,Matchweek 26,Fulham,7
487,38,2022,Matchweek 26,Brighton,4
488,38,2022,Matchweek 26,Brentford,5
489,31,2022,Matchweek 26,Chelsea,1
490,31,2022,Matchweek 26,Aston Villa,3
491,27,2022,Matchweek 26,Crystal Palace,3
492,25,2022,Matchweek 26,Nottm Forest,1
493,24,2022,Matchweek 26,Leicester,3
494,24,2022,Matchweek 26,Wolves,4
495,23,2022,Matchweek 26,West Ham,4
496,22,2022,Matchweek 26,Leeds,3
497,21,2022,Matchweek 26,Everton,3
498,21,2022,Matchweek 26,Bournemouth,4
499,18,2022,Matchweek 26,Southampton,3
500,63,2022,Matchweek 27,Arsenal,9
501,58,2022,Matchweek 27,Man City,7
502,49,2022,Matchweek 27,Man Utd,6
503,45,2022,Matchweek 27,Tottenham,6
504,42,2022,Matchweek 27,Liverpool,7
505,41,2022,Matchweek 27,Newcastle,1
506,41,2022,Matchweek 27,Brighton,4
507,41,2022,Matchweek 27,Brentford,5
508,39,2022,Matchweek 27,Fulham,4
509,34,2022,Matchweek 27,Chelsea,3
510,34,2022,Matchweek 27,Aston Villa,6
511,27,2022,Matchweek 27,Crystal Palace,2
512,27,2022,Matchweek 27,Wolves,4
513,26,2022,Matchweek 27,Nottm Forest,2
514,24,2022,Matchweek 27,Leicester,0
515,23,2022,Matchweek 27,West Ham,3
516,22,2022,Matchweek 27,Leeds,3
517,22,2022,Matchweek 27,Everton,4
518,21,2022,Matchweek 27,Southampton,6
519,21,2022,Matchweek 27,Bournemouth,3
520,66,2022,Matchweek 28,Arsenal,9
521,61,2022,Matchweek 28,Man City,9
522,50,2022,Matchweek 28,Man Utd,4
523,48,2022,Matchweek 28,Tottenham,6
524,44,2022,Matchweek 28,Newcastle,3
525,42,2022,Matchweek 28,Liverpool,4
526,42,2022,Matchweek 28,Brighton,4
527,41,2022,Matchweek 28,Brentford,4
528,39,2022,Matchweek 28,Fulham,1
529,37,2022,Matchweek 28,Chelsea,6
530,35,2022,Matchweek 28,Aston Villa,7
531,27,2022,Matchweek 28,Crystal Palace,1
532,27,2022,Matchweek 28,Wolves,4
533,26,2022,Matchweek 28,Nottm Forest,1
534,25,2022,Matchweek 28,Everton,4
535,24,2022,Matchweek 28,Leicester,0
536,24,2022,Matchweek 28,West Ham,4
537,24,2022,Matchweek 28,Bournemouth,3
538,23,2022,Matchweek 28,Leeds,4
539,22,2022,Matchweek 28,Southampton,4
540,69,2022,Matchweek 29,Arsenal,9
541,61,2022,Matchweek 29,Man City,9
542,50,2022,Matchweek 29,Man Utd,4
543,49,2022,Matchweek 29,Tottenham,4
544,47,2022,Matchweek 29,Newcastle,6
545,42,2022,Matchweek 29,Liverpool,4
546,42,2022,Matchweek 29,Brighton,4
547,42,2022,Matchweek 29,Brentford,4
548,39,2022,Matchweek 29,Fulham,1
549,38,2022,Matchweek 29,Chelsea,7
550,38,2022,Matchweek 29,Aston Villa,7
551,27,2022,Matchweek 29,Crystal Palace,0
552,27,2022,Matchweek 29,Wolves,3
553,26,2022,Matchweek 29,Leeds,4
554,26,2022,Matchweek 29,Everton,5
555,26,2022,Matchweek 29,Nottm Forest,1
556,25,2022,Matchweek 29,Leicester,1
557,24,2022,Matchweek 29,West Ham,4
558,24,2022,Matchweek 29,Bournemouth,3
559,23,2022,Matchweek 29,Southampton,5
560,3,2021,Matchweek 2,Man Utd,3
561,3,2021,Matchweek 2,Chelsea,3
562,3,2021,Matchweek 2,Liverpool,3
563,3,2021,Matchweek 2,West Ham,3
564,3,2021,Matchweek 2,Everton,3
565,3,2021,Matchweek 2,Brentford,3
566,3,2021,Matchweek 2,Watford,3
567,3,2021,Matchweek 2,Brighton,3
568,3,2021,Matchweek 2,Leicester,3
569,3,2021,Matchweek 2,Tottenham,3
570,0,2021,Matchweek 2,Aston Villa,0
571,0,2021,Matchweek 2,Burnley,0
572,0,2021,Matchweek 2,Man City,0
573,0,2021,Matchweek 2,Wolves,0
574,0,2021,Matchweek 2,Newcastle,0
575,0,2021,Matchweek 2,Southampton,0
576,0,2021,Matchweek 2,Arsenal,0
577,0,2021,Matchweek 2,Crystal Palace,0
578,0,2021,Matchweek 2,Norwich,0
579,0,2021,Matchweek 2,Leeds,0
580,6,2021,Matchweek 3,West Ham,6
581,6,2021,Matchweek 3,Chelsea,6
582,6,2021,Matchweek 3,Liverpool,6
583,6,2021,Matchweek 3,Brighton,6
584,6,2021,Matchweek 3,Tottenham,6
585,4,2021,Matchweek 3,Man Utd,4
586,4,2021,Matchweek 3,Everton,4
587,4,2021,Matchweek 3,Brentford,4
588,3,2021,Matchweek 3,Man City,3
589,3,2021,Matchweek 3,Aston Villa,3
590,3,2021,Matchweek 3,Watford,3
591,3,2021,Matchweek 3,Leicester,3
592,1,2021,Matchweek 3,Southampton,1
593,1,2021,Matchweek 3,Crystal Palace,1
594,1,2021,Matchweek 3,Leeds,1
595,0,2021,Matchweek 3,Wolves,0
596,0,2021,Matchweek 3,Burnley,0
597,0,2021,Matchweek 3,Newcastle,0
598,0,2021,Matchweek 3,Arsenal,0
599,0,2021,Matchweek 3,Norwich,0
600,9,2021,Matchweek 4,Tottenham,9
601,7,2021,Matchweek 4,West Ham,7
602,7,2021,Matchweek 4,Man Utd,7
603,7,2021,Matchweek 4,Chelsea,7
604,7,2021,Matchweek 4,Liverpool,7
605,7,2021,Matchweek 4,Everton,7
606,6,2021,Matchweek 4,Man City,6
607,6,2021,Matchweek 4,Brighton,6
608,6,2021,Matchweek 4,Leicester,6
609,5,2021,Matchweek 4,Brentford,5
610,4,2021,Matchweek 4,Aston Villa,4
611,3,2021,Matchweek 4,Watford,3
612,2,2021,Matchweek 4,Southampton,2
